,Doctor's Name,speciality,Facility.Name,,
0,"Diem Truong, LAc, MSTOM",Acupuncturist,Southeast Alabama Medical Center,,
1,"Monique Rivera, LAc",Acupuncturist,Marshall Medical Center South,,
2,"Ronald Pratt, LAc, DiplAc, MA, MSAc",Acupuncturist,Eliza Coffee Memorial Hospital,,
3,"Daniel Camburn, LAc",Acupuncturist,Mizell Memorial Hospital,,
4,"Deborah Barbiere, LAc, MSTOM, PsyD",Acupuncturist,Crenshaw Community Hospital,, 
5,"Miguel Maya, MSTOM, LAc",Acupuncturist,St Vincent's East,,
6,"Elizabeth Healy, LAc",Acupuncturist,Dekalb Regional Medical Center,,
7,"Irina Logman, LAc, DACM",Acupuncturist,Shelby Baptist Medical Center,,
8,"Han Jun, LAc",Acupuncturist,Callahan Eye Hospital,,
9,"Michiko Yoshifuji, DiplAc, LAc",Acupuncturist,Helen Keller Memorial Hospital,,
10,"Maiko Hattori, LAc",Acupuncturist,Dale Medical Center,,
11,"Diem Truong, LAc, MSTOM",Acupuncturist,Floyd Cherokee Medical Center,,
12,"Jennifer Beltrani, LAc",Acupuncturist,Baptist Medical Center South,,
13,"Dr. Jimo (Timothy) Kang, LAc, PhD",Acupuncturist,Jackson Hospital & Clinic Inc,,
14,"Dr. Jimo (Timothy) Kang, LAc, PhD",Acupuncturist,East Alabama Medical Center,,
15,"Dr. Brandon Cooper, DC, LAc, DiplAc",Acupuncturist,Tanner Medical Center-east Alabama,,
16,"Timothy Klemt, LAc, DACM",Acupuncturist,University Of Alabama Hospital,,
17,"Ji Sung Kim, LAc",Acupuncturist,Community Hospital Inc,,
18,"Kirsten Manges, LAc",Acupuncturist,Cullman Regional Medical Center,,
19,"Jing Jiang, LAc",Acupuncturist,Andalusia Health,,
20,"Diem Truong, LAc, MSTOM",Acupuncturist,Stringfellow Memorial Hospital,,
21,"Kirsten Manges, LAc",Acupuncturist,Huntsville Hospital,,
22,"Jing Jiang, LAc",Acupuncturist,Gadsden Regional Medical Center,,
23,"Dr. Ai Lee, PhD",Acupuncturist,Marion Regional Medical Center,,
24,"Erin Lee, LAc, DACM",Acupuncturist,Fayette Medical Center,,
25,"Jonathan Simon, LAc",Acupuncturist,Riverview Regional Medical Center,,
26,"Tammy Huang, MSTOM, LAc",Acupuncturist,Georgiana Medical Center,,
27,"Dong Hwan Lee, LAc",Acupuncturist,Medical Center Enterprise,,
28,"Jodi Gentili, LAc",Acupuncturist,Greene County Hospital,,
29,"Boris Bernadsky, LAc, LMT",Acupuncturist,Lake Martin Community Hospital,,
30,"Xinyu (Allison) Cheng, LAc",Acupuncturist,Flowers Hospital,,
31,"Qian Li, LAc",Acupuncturist,St Vincent's Birmingham,,
32,"Anna Hajosi, LAc, MSAc",Acupuncturist,Bibb Medical Center,,
33,"Deborah Valentin, LAc, MS",Acupuncturist,Lawrence Medical Center,,
34,"Ki Yin Cheng, LAc",Acupuncturist,Highlands Medical Center,,
35,"Qi Yu, LAc",Acupuncturist,Wiregrass Medical Center,,
36,"Dr. Brandon Cooper, DC, LAc, DiplAc",Acupuncturist,Russell Medical Center,,
37,"Lisa Sumption, LAc",Acupuncturist,Medical Center Barbour,,
38,"Youngsoo Oh, PT",Acupuncturist,Clay County Hospital,,
39,"Enensaauas Rastrygina, DAc, LAc, LMT",Acupuncturist,Northeast Alabama Regional Medical Center,,
40,"Diem Truong, LAc, MSTOM",Acupuncturist,Athens Limestone Hospital,,
41,"Samantha Hewwing, LAc, DACM",Acupuncturist,South Baldwin Regional Medical Center,,
42,"Flora Luyando, LAc",Acupuncturist,Decatur Morgan Hospital-decatur Campus,,
43,"Yuji Kim, LAc",Acupuncturist,Northwest Medical Center,,
44,"Zhiwen Zhong, LAc, DACM, MSTCM",Acupuncturist,University Of South Alabama Medical Center,,
45,"Lida Ahmady, LAc",Acupuncturist,Walker Baptist Medical Center,,
46,"Maya Kron, LAc",Acupuncturist,Providence Hospital,,
47,"Yoko Kuo, LAc",Acupuncturist,Grove Hill Memorial Hospital,,
48,"Heeock Lee, LAc",Acupuncturist,D C H Regional Medical Center,,
49,"Itorye Silver, LAc",Acupuncturist,Hale County Hospital,,
50,"Julie Cho, DAOM, LAc, MSTOM",Acupuncturist,Elmore Community Hospital,,
51,"Frank Muscara, LAc, DACM",Acupuncturist,D W Mcmillan Memorial Hospital,,
52,"Yang Yang Zucco, LAc",Acupuncturist,Thomas Hospital,,
53,"Kelsey Tangel, DACM",Acupuncturist,Citizens Baptist Medical Center,,
54,"Joelle Ludwig, LAc",Acupuncturist,J Paul Jones Hospital,,
55,"Joannie Campuzano, LAc",Acupuncturist,Princeton Baptist Medical Center,,
56,"Joyce Lilly, DAc, LAc",Acupuncturist,Grandview Medical Center,,
57,"Li Ting Lin, LAc",Acupuncturist,Prattville Baptist Hospital,,
58,"Philip Trigiani, LAc, DAc",Acupuncturist,Pickens County Medical Center,,
59,"Connie Qian, LAc",Acupuncturist,Bullock County Hospital,,
60,"Diem Truong, LAc, MSTOM",Acupuncturist,Bryan W. Whitfield Memorial Hospital,,
61,"Douglas Freeman, LAc, MS",Acupuncturist,Mobile Infirmary Medical Center,,
62,"Amy Woodstock, LAc",Acupuncturist,"Medical West, An Affiliate Of Uab Health System",,
63,"Giovanna Silva, LAc, MSOM",Acupuncturist,Vaughan Regional Medical Center Parkway Campus,,
64,"Dr. Yu Cheng Chen, PhD, DC, LAc",Acupuncturist,Monroe County Hospital,,
65,"Marina Doktorman, LAc",Acupuncturist,Lakeland Community Hospital,,
66,"Xue (Snow) Xia, LAc",Acupuncturist,Troy Regional Medical Center,,
67,"Dr. Aran Degenhardt, MD, CAc",Acupuncturist,Jackson Medical Center,,
68,"Jane Gibbons, LAc",Acupuncturist,North Baldwin Infirmary,,
69,"Li Ting Lin, LAc",Acupuncturist,St Vincent's St Clair,,
70,"Russell Stram, PT",Acupuncturist,Crestwood Medical Center,,
71,"Lisa Sumption, LAc",Acupuncturist,Hill Hospital Of Sumter County,,
72,"Dr. Stephen Coleman, MD, LAc",Acupuncturist,Brookwood Baptist Medical Center,,
73,"April Nieves, LAc",Acupuncturist,Springhill Memorial Hospital,,
74,"Amy Woodstock, LAc",Acupuncturist,Rmc Jacksonville,,
75,"Anna Piva, LAc, DACM",Acupuncturist,Evergreen Medical Center,,
76,"Dumisani Kambi-Shamba, LAc, MSTOM",Acupuncturist,Baptist Medical Center East,,
77,"Jonathan Simon, LAc",Acupuncturist,L V Stabler Memorial Hospital,,
78,"Marjorie (Margie) Navarro, LAc",Acupuncturist,Shoals Hospital,,
79,"Xaoling Shang, LAc, MSTOM",Acupuncturist,Russellville Hospital,,
80,"Diem Truong, LAc, MSTOM",Acupuncturist,Coosa Valley Medical Center,,
81,"Jacqueline Fazzalari, LAc",Acupuncturist,Jack Hughston Memorial Hospital,,
82,"Marc Gian, LAc",Acupuncturist,Atmore Community Hospital,,
83,"Dr. Oliver Grover, DC, LAc, MS",Acupuncturist,St Vincent's Chilton,,
84,"Christopher Trahan, LAc",Acupuncturist,Washington County Hospital,,
85,"Dr. Yi Yi Wu, LAc, PhD",Acupuncturist,Red Bay Hospital,,
86,"Howard Tso, LAc",Acupuncturist,Choctaw General Hospital,,
87,"Jeffrey Chen, LAc",Acupuncturist,St Vincents Blount,,
88,"Darren Louie, LAc, MSTOM",Acupuncturist,Children's Hospital Of Alabama,,
89,"Dr. Aran Degenhardt, MD, CAc",Acupuncturist,University Of S A Children's And Women's Hos,,
90,"Boris Bernadsky, LAc, LMT",Acupuncturist,Providence Alaska Medical Center,,
91,"Xaoling Shang, LAc, MSTOM",Acupuncturist,Mat-su Regional Medical Center,,
92,"Aliona Kats, LAc, LMT",Acupuncturist,Bartlett Regional Hospital,,
93,"SongLinh Lu, LAc",Acupuncturist,Fairbanks Memorial Hospital,,
94,"Zvi Goldberg, LAc",Acupuncturist,Alaska Regional Hospital,,
95,"Melissa Little, LAc",Acupuncturist,Yukon Kuskokwim Delta Reg Hospital,,
96,"Andrea Vannelli, DAc, DiplAc, LAc",Acupuncturist,Central Peninsula General Hospital,,
97,"Andrea Vannelli, DAc, DiplAc, LAc",Acupuncturist,Alaska Native Medical Center,,
98,"Siras Ramos, LAc",Acupuncturist,Providence Valdez Medical Center,,
99,"Annalisa Brown, LAc",Acupuncturist,Providence Seward Hospital,,
100,"Diem Truong, LAc, MSTOM",Acupuncturist,Sitka Community Hospital,,
101,"Natalie Francis, LAc",Acupuncturist,Petersburg Medical Center,,
102,"Pamela Yap, LAc, MSTOM",Acupuncturist,Wrangell Medical Center,,
103,"Brian Chang, DAc, DiplAc, LAc",Acupuncturist,Providence Kodiak Island Medical Ctr,,
104,"Dr. Sara Scrivano, DC, LAc",Acupuncturist,Cordova Community Medical Center,,
105,"Youngsoo Oh, PT",Acupuncturist,Norton Sound Regional Hospital,,
106,"Hyoung Gyo Kim, LAc",Acupuncturist,Kanakanak Hospital,,
107,"Siraj Venjara, LAc, MSTOM",Acupuncturist,Maniilaq Health Center,,
108,"Dr. Steven Moalemi, MD",Physiatrist,Ketchikan Medical Center,,
109,"Hiroe Yamani, LAc",Acupuncturist,Samuel Simmonds Memorial Hospital,,
110,"Dr. Lev Kalika, DC",Chiropractor,South Peninsula Hospital,,
111,"Dr. David Hong, DC",Chiropractor,Mt Edgecumbe Hospital,,
112,"Dr. Steven Moalemi, MD",Physiatrist,Banner - University Medical Center Phoenix,,
113,"Dr. Steven Moalemi, MD",Physiatrist,Tucson Medical Center,,
114,"Dr. Kelly Bay, DC, CDN, CNS",Chiropractor,Verde Valley Medical Center,,
115,"Keping Du, LAc",Acupuncturist,St. Mary's Hospital,,
